	A15C	12009	10017	A14 Black	A15 Red	A14 VLT	74220	12002	14310	14072	15016 (Kesson)	15065	15555	Luna 24	AVG A11	70215	74275	LAP02205	NWA4734	NWA032	NEA003	Yamato 98	Fastball	Gusev basalts 	NWA 1068
SiO2	48.68	45.03	40.03	35.58	37.00	47.12	38.80	43.80	46.88	44.94	44.65	47.10	44.80	47.50	41.60	38.90	37.90	45.60	47.10	45.20	45.60	49.15	48.57	45.87	45.78
TiO2	0.22	2.90	11.61	16.88	12.23	0.68	8.80	2.80	1.19	2.56	2.35	1.63	2.49	0.88	10.30	12.29	12.60	3.17	3.14	3.21	1.49	0.51	0.72	0.55	0.81
Al2O3	7.06	8.59	8.04	3.92	7.92	9.50	5.68	7.95	21.68	11.31	8.56	9.17	8.60	12.60	10.60	9.12	8.30	9.76	9.65	10.00	8.93	5.65	8.42	10.58	5.85
Cr2O3	0.60	0.55	0.34	0.86	0.63	0.45	0.73	0.65	0.25	0.52	0.67	0.81	0.69	0.23	0.56	0.37	0.60	0.32	0.30	0.31	0.58	0.71	0.00	0.63	0.58
FeO	16.30	21.03	20.46	22.96	21.82	17.97	22.83	22.00	8.22	17.07	22.93	19.20	22.20	20.00	17.20	20.10	19.10	21.90	21.20	22.20	21.60	16.59	19.09	18.82	20.90
MnO	0.34	0.28	0.24	0.31	0.24	0.26	0.31	0.29	0.01	0.00	0.34	0.30	0.00	0.25	0.34	0.24	0.20	0.31	0.28	0.29	0.30	0.48	0.50	0.43	0.42
MgO	18.66	11.55	8.17	14.39	11.29	14.91	14.97	13.50	7.42	12.21	11.31	10.40	11.10	6.22	8.00	7.51	10.40	7.02	6.83	6.63	10.90	18.90	12.87	11.04	16.78
CaO	8.43	9.42	10.26	6.35	8.15	9.18	7.10	8.18	12.55	9.63	9.55	9.43	9.21	12.40	10.60	11.09	10.20	11.20	10.90	11.10	10.20	6.80	6.22	8.10	7.02
Na2O	0.17	0.23	0.49	0.33	0.62	0.25	0.39	0.22	0.72	0.38	0.21	0.32	0.34	0.04	0.51	0.30	0.40	0.36	0.36	0.38	0.34	0.64	2.52	2.37	1.13
K2O	0.00	0.06	0.30	0.14	0.06	0.07	0.02	0.00	0.50	0.11	0.03	0.00	0.00	0.02	0.15	0.08	0.10	0.10	0.16	0.00	0.09	0.02	0.25	0.08	0.20
Total	100.46	99.64	99.94	101.69	99.95	100.40	99.63	99.39	99.42	98.73	100.60	98.36	99.43	100.14	99.86	100.00	99.80	99.74	99.92	99.32	100.03	99.45	99.16	98.47	99.47
Mg#	67.1	49.5	41.6	52.8	48.0	59.7	53.9	52.2	61.7	56.0	46.8	49.1	47.1	35.7	45.3	40.0	49.3	36.4	36.5	34.7	47.4	67.0	54.6	51.1	58.9
